LAD11CD,total_length_meters_2011,length_meters_2016,length_meters_2020
E06000001,41979.8,44267.6,43006.6
E06000002,86876.6,98944.5,98144.5
E06000003,75724.3,96269.0,101113.2
E06000004,98803.1,134232.3,138758.6
E06000005,36356.1,61617.8,65653.5
E06000006,51128.7,55058.4,116036.3
E06000007,69922.2,94520.1,172052.2
E06000008,19986.5,31437.7,56221.0
E06000009,10277.8,37474.7,41449.0
E06000010,93499.6,117311.4,123121.1
E06000011,285675.9,388705.9,444084.1
E06000012,3311.4,29694.5,80483.4
E06000013,13148.7,83830.5,95763.3
E06000014,75286.6,188735.4,188865.2
E06000015,45831.8,108410.3,122131.5
E06000016,51020.5,99673.0,155660.3
E06000017,59051.7,102686.5,141772.2
E06000018,84783.4,163524.5,179051.7
E06000019,67093.8,120607.9,186043.0
E06000020,60914.6,100768.0,119760.6
E06000021,57317.0,163031.5,163237.0
E06000022,66139.8,102890.8,107701.2
E06000023,62856.9,138216.4,153097.9
E06000024,115711.4,171771.5,177383.1
E06000025,136544.8,223121.9,247644.2
E06000026,62669.5,89503.1,111612.1
E06000027,15540.3,20776.4,30769.3
E06000028,11868.1,42544.5,42826.7
E06000029,36676.3,106503.9,109719.6
E06000030,90462.5,205287.2,213298.3
E06000031,70390.4,233665.1,258641.8
E06000032,12641.4,32867.9,34749.0
E06000033,14106.0,38371.0,33609.8
E06000034,38244.3,66988.7,80665.0
E06000035,51069.7,88281.0,93171.8
E06000036,44674.6,114855.1,139696.5
E06000037,177617.0,281487.0,294993.4
E06000038,23707.6,54312.3,65420.4
E06000039,23717.8,40673.7,43224.6
E06000040,49057.1,82627.3,88194.1
E06000041,41263.1,70179.8,124441.6
E06000042,434044.3,595198.6,645321.8
E06000043,48480.3,89882.7,117333.9
E06000044,29609.1,62323.0,66725.5
E06000045,30604.3,51053.9,54380.4
E06000046,195539.8,245389.7,93059.1
E06000047,262389.0,425822.1,557173.2
E06000048,313665.1,581990.2,781965.9
E06000049,159752.2,235703.7,272417.9
E06000050,127143.8,198295.9,264130.4
E06000051,123855.9,318957.1,452759.6
E06000052,329711.7,484496.4,541419.9
E06000054,434058.1,901474.9,988451.9
E06000055,159042.3,283903.8,297905.9
E06000056,160109.1,302429.3,350910.3
E07000004,113983.5,189883.1,225999.2
E07000005,30887.8,67735.6,85936.7
E07000006,57713.1,83931.1,84746.4
E07000007,92871.8,133382.3,157884.3
E07000008,96889.8,128612.0,142424.3
E07000009,63914.6,122035.1,122410.5
E07000010,25658.9,83116.8,81714.9
E07000011,92261.7,288619.7,311919.6
E07000012,270419.5,377338.1,391578.0
E07000026,114254.6,185474.6,325981.9
E07000027,144.8,11617.0,14622.7
E07000028,13057.4,41906.7,80571.3
E07000029,112639.4,174835.9,256696.7
E07000030,129414.1,250517.5,395047.7
E07000031,254482.4,413752.7,474417.5
E07000032,16672.0,34359.2,35445.6
E07000033,38671.8,50382.3,64809.1
E07000034,51442.6,63679.3,71775.9
E07000035,141140.2,174072.8,177924.4
E07000036,42017.9,65855.4,68723.4
E07000037,130858.9,158910.9,157268.1
E07000038,68633.8,71135.9,78595.5
E07000039,40438.7,104489.0,99476.5
E07000040,85865.5,165327.0,179538.5
E07000041,88321.3,102603.0,108453.9
E07000042,32291.5,65705.7,102297.8
E07000043,70876.1,140816.3,219726.9
E07000044,36602.6,35978.1,53541.2
E07000045,58671.0,136017.6,155144.0
E07000046,27738.4,38491.6,68599.0
E07000047,65184.6,145590.2,192590.8
E07000048,14031.9,32131.9,33395.0
E07000049,102284.9,170792.8,188500.0
E07000050,107617.0,246667.7,249746.2
E07000051,156371.4,206891.5,187281.6
E07000052,370002.9,432617.3,459956.2
E07000053,8517.0,36770.1,39869.8
E07000061,50552.1,51465.4,58771.2
E07000062,3820.4,9449.6,9549.9
E07000063,108240.4,170417.1,180262.2
E07000064,19607.4,34362.9,52043.4
E07000065,82359.8,144133.3,195088.6
E07000066,19033.3,65371.3,71465.4
E07000067,67821.8,111294.0,120474.4
E07000068,12064.4,19869.7,21625.4
E07000069,6415.5,28751.1,31232.5
E07000070,43527.6,110463.9,126049.3
E07000071,48687.8,102591.3,119155.1
E07000072,58092.6,82305.5,100803.4
E07000073,28952.2,51880.2,53993.6
E07000074,9772.6,33864.8,40453.2
E07000075,10699.2,51705.7,50818.5
E07000076,39728.3,45509.0,52263.2
E07000077,90195.5,165067.0,172026.5
E07000078,16356.2,24562.2,26624.4
E07000079,69446.8,215785.1,254660.6
E07000080,27722.7,87797.9,101297.0
E07000081,43867.1,52860.8,76978.8
E07000082,69792.9,136150.7,137798.1
E07000083,45903.3,102936.0,122221.9
E07000084,173067.1,171678.9,185244.6
E07000085,121221.5,140621.9,151772.4
E07000086,46860.0,94516.9,95978.5
E07000087,30004.4,63142.5,73948.7
E07000088,12708.4,41677.2,45572.2
E07000089,33857.3,81257.6,69850.3
E07000090,22044.3,54207.2,63866.8
E07000091,584777.8,456593.2,469238.6
E07000092,30322.6,50012.7,48240.1
E07000093,108630.0,167856.5,162369.0
E07000094,203248.5,160396.6,152501.8
E07000095,10521.9,31395.9,36639.1
E07000096,71155.7,91359.1,98976.6
E07000097,200888.1,232428.7,243539.6
E07000098,41970.4,56147.5,61787.9
E07000099,130893.5,159232.0,167293.1
E07000100,88415.9,117375.4,118571.1
E07000101,61897.2,72522.5,74982.1
E07000102,22582.5,34771.0,42218.4
E07000103,11801.1,23966.0,26325.5
E07000104,78083.7,105983.5,106241.3
E07000105,78749.1,106295.7,105933.9
E07000106,133101.0,158548.2,159655.3
E07000107,35183.6,64135.3,65381.7
E07000108,96289.0,125706.0,127688.0
E07000109,28672.7,56233.8,56704.3
E07000110,40963.2,48566.1,64464.6
E07000111,35217.9,61856.4,90568.2
E07000112,80961.3,91458.3,95793.5
E07000113,83805.1,113852.2,122254.9
E07000114,54426.3,83891.9,87644.6
E07000115,62210.5,91575.6,109290.0
E07000116,33946.5,48700.9,53015.5
E07000117,27434.8,35808.5,47898.1
E07000118,43882.1,73870.1,104420.4
E07000119,6557.8,23765.7,37205.2
E07000120,23155.7,31756.4,46433.0
E07000121,90208.0,102006.7,132716.9
E07000122,32298.1,39608.5,57835.5
E07000123,49106.2,74279.3,86514.4
E07000124,79807.5,115222.6,105096.4
E07000125,45804.3,53806.0,62808.2
E07000126,28381.9,44111.7,58050.2
E07000127,10766.0,51259.8,101377.9
E07000128,6842.9,28130.2,42299.5
E07000129,28824.6,68457.7,86037.8
E07000130,45558.2,97100.3,123141.8
E07000131,26301.9,129009.6,186548.4
E07000132,17948.0,87116.8,96683.0
E07000133,30567.5,59961.5,122517.8
E07000134,39783.2,92909.1,117314.2
E07000135,480.4,10730.7,17507.4
E07000136,6153.0,9768.8,15013.2
E07000137,26848.1,74971.1,98858.8
E07000138,33157.4,42929.2,46316.2
E07000139,26330.7,61704.2,77200.5
E07000140,7867.1,16278.9,32644.9
E07000141,13573.0,57348.9,66145.2
E07000142,41924.9,57235.7,76485.3
E07000143,40128.6,126937.6,139005.7
E07000144,58751.4,88577.9,122470.2
E07000145,28367.0,35249.0,39891.3
E07000146,83174.8,128666.0,189455.2
E07000147,8960.9,33109.3,57630.0
E07000148,28429.1,52411.5,58404.1
E07000149,26180.9,65489.3,95946.2
E07000150,375.0,4253.8,4396.0
E07000151,81311.5,162244.7,183147.6
E07000152,22708.2,153683.9,160029.2
E07000153,9098.1,33697.0,44509.5
E07000154,82185.0,145122.1,158899.1
E07000155,198609.9,210841.6,206892.8
E07000156,8833.2,33163.1,42143.7
E07000163,142683.3,183761.1,191515.9
E07000164,83403.1,176789.0,159917.1
E07000165,100823.7,252337.8,262433.8
E07000166,37120.1,106361.9,166920.8
E07000167,269499.9,401409.5,383387.9
E07000168,124354.0,241090.9,243390.7
E07000169,72252.9,103304.5,102795.0
E07000170,33867.5,80656.4,93143.4
E07000171,26520.8,78098.9,99127.6
E07000172,43173.7,69753.4,72541.9
E07000173,28543.7,65028.0,71539.2
E07000174,20347.5,54807.3,61499.9
E07000175,163268.2,190082.6,197153.5
E07000176,85527.1,154136.1,173109.1
E07000177,158231.8,220464.1,267875.3
E07000178,93755.6,110680.1,112285.8
E07000179,279473.8,314640.9,338195.3
E07000180,114671.8,173031.4,209895.6
E07000181,207937.5,268044.9,283216.6
E07000187,30006.0,102538.0,144002.6
E07000188,55226.9,135740.5,144258.2
