LSOA11CD,total_length_meters_2011,length_meters_2020
E01000001,331.4,532.4
E01000002,426.6,730.6
E01000005,148.8,942.7
E01000008,594.2,991.3
E01000045,41.5,729.9
E01000092,898.8,5152.9
E01000093,187.6,902.3
E01000096,480.3,3220.1
E01000116,46.8,57.8
E01000119,222.5,236.5
E01000120,243.2,234.6
E01000121,324.9,320.0
E01000122,211.1,214.6
E01000123,295.9,295.8
E01000128,378.1,308.2
E01000131,970.6,1192.6
E01000136,43.1,0
E01000159,385.6,962.6
E01000160,583.4,1109.7
E01000163,107.2,963.4
E01000165,70.5,187.5
E01000166,549.3,516.2
E01000167,879.6,955.6
E01000172,9.9,0
E01000173,197.7,301.7
E01000174,25.0,7.2
E01000175,849.9,920.0
E01000176,75.1,73.8
E01000178,22.4,101.3
E01000184,1643.2,73.9
E01000186,305.0,312.3
E01000188,1500.4,3205.8
E01000189,363.8,738.2
E01000190,51.5,33.3
E01000191,770.1,768.0
E01000192,25.7,29.0
E01000194,69.5,56.7
E01000198,30.0,299.2
E01000202,24.2,12.1
E01000203,62.4,975.3
E01000204,29.6,29.6
E01000205,387.2,434.2
E01000207,7.0,0
E01000211,546.1,787.5
E01000212,5.3,0
E01000219,2.6,71.5
E01000221,450.2,801.9
E01000222,4.8,1090.0
E01000223,674.9,988.7
E01000225,715.0,1471.9
E01000227,126.0,100.0
E01000228,3051.8,1734.5
E01000229,557.1,555.0
E01000230,90.4,90.1
E01000231,855.3,856.0
E01000232,133.6,227.1
E01000238,109.1,139.5
E01000240,254.9,1428.5
E01000246,57.5,67.4
E01000253,1470.3,1638.4
E01000255,757.7,867.3
E01000257,280.1,493.8
E01000258,399.4,505.8
E01000259,1900.8,1790.8
E01000260,1008.7,2321.5
E01000262,1007.7,1081.4
E01000264,156.9,156.9
E01000272,12.5,7.0
E01000280,1298.6,1256.6
E01000282,993.9,1029.6
E01000283,57.1,57.2
E01000288,782.5,1006.2
E01000289,1152.5,1092.1
E01000290,655.4,505.4
E01000291,388.3,480.5
E01000296,17.9,17.9
E01000297,256.5,462.1
E01000303,3.8,218.7
E01000304,115.7,427.2
E01000311,11.4,672.2
E01000315,441.8,419.2
E01000316,331.2,937.8
E01000319,71.9,219.6
E01000326,15.9,29.3
E01000335,928.9,4051.9
E01000362,90.8,99.5
E01000363,66.6,66.6
E01000374,1512.4,1858.5
E01000375,21.5,26.4
E01000376,43.0,77.3
E01000379,212.3,209.9
E01000380,552.6,669.9
E01000381,1149.7,805.6
E01000382,296.8,296.8
E01000383,3598.9,3345.1
E01000386,149.8,520.0
E01000390,104.0,327.4
E01000391,528.0,575.4
E01000403,353.9,1018.1
